eventId,period,time,away_team,home_team,home_team_side,eventType,eventOwnerTeamId,losingPlayerId,winningPlayerId,xCoord,yCoord,zoneCode,hittingPlayerId,hitteePlayerId,blockingPlayerId,shootingPlayerId,reason,playerId,shotType,goalieInNetId,awaySOG,homeSOG,secondaryReason,typeCode,descKey,duration,committedByPlayerId,drawnByPlayerId,scoringPlayerId,scoringPlayerTotal,assist1PlayerId,assist1PlayerTotal,awayScore,homeScore,discreteClip,assist2PlayerId,assist2PlayerTotal,servedByPlayerId
212,1,15:15,FLA,VGK,right,hit,54.0,,,-68.0,40.0,O,8479353.0,8477493.0,,,,,,,,,,,,,,,,,,,,,,,,
213,1,15:19,FLA,VGK,right,hit,13.0,,,-43.0,-40.0,D,8477493.0,8475188.0,,,,,,,,,,,,,,,,,,,,,,,,
214,1,15:32,FLA,VGK,right,hit,54.0,,,-89.0,-34.0,O,8477478.0,8477493.0,,,,,,,,,,,,,,,,,,,,,,,,
352,1,15:48,FLA,VGK,right,blocked-shot,13.0,,,41.0,-13.0,D,,,8477478.0,8477935.0,,,,,,,,,,,,,,,,,,,,,,
215,1,15:52,FLA,VGK,right,takeaway,54.0,,,59.0,-20.0,D,,,,,,8478462.0,,,,,,,,,,,,,,,,,,,,
353,1,15:58,FLA,VGK,right,missed-shot,54.0,,,-73.0,-14.0,O,,,,8478462.0,wide-of-net,,deflected,8475683.0,,,,,,,,,,,,,,,,,,
216,1,16:06,FLA,VGK,right,hit,54.0,,,14.0,-38.0,N,8478434.0,8476393.0,,,,,,,,,,,,,,,,,,,,,,,,
218,1,16:17,FLA,VGK,right,takeaway,54.0,,,-7.0,24.0,N,,,,,,8475191.0,,,,,,,,,,,,,,,,,,,,
220,1,16:19,FLA,VGK,right,hit,13.0,,,-92.0,-29.0,D,8476393.0,8474166.0,,,,,,,,,,,,,,,,,,,,,,,,
354,1,16:23,FLA,VGK,right,shot-on-goal,54.0,,,-75.0,39.0,O,,,,8475191.0,,,snap,8475683.0,7.0,4.0,,,,,,,,,,,,,,,,
255,1,16:24,FLA,VGK,right,delayed-penalty,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,1,16:27,FLA,VGK,right,penalty,13.0,,,-97.0,-4.0,D,,,,,,,,,,,,MIN,interference,2.0,8479372.0,8476448.0,,,,,,,,,,
